Intent	Utterance	Response
Refuse	?? ????	?? ????? ????? ???? ?????
Refuse	???? ???? ?????	?? ????? ????? ???? ?????
Refuse	????? ?????	?? ????? ????? ???? ?????
Refuse	?? ????	?? ????? ????? ???? ?????
Refuse	?? ????? ?????	?? ????? ????? ???? ?????
Refuse	 ???? ??? ???? ???? ?????	?? ????? ????? ???? ?????
Refuse	?? ??? ???? ?????	?? ????? ????? ???? ?????
Ask 	??? ???? ???? ???? ???????? ?? ?????	?????? ???
Ask 	?? ??? ???? ??? ???? ???????? ?? ?????	?????? ???
Ask 	??? ??????? ???? ???? ????? ?? ????? ??????	?????? ???
Ask 	??? ???? ?? ??????? ???? ???? ????? ????????	?????? ???
Ask 	??? ???? ???? ??? ???????? ??????? ???? ??? ????????	?????? ???
Ask 	?? ??? ????? ?????? ????? ????????	?????? ???
Ask 	??? ???? ???? ???? ???????? ???? ?????	?????? ???
Ask 	"??? ????? ??? ??? ?? ?????? ?? ??? ???????"	?????? ???
Ask 	??? ???? ???? ??? ???? ?????? ?? ?????	?????? ???
Ask 	???? ?????? ??? ????? ????? ?? ????? ????????	?????? ???
Ask 	??? ???? ??? ???? ???? ?? ????????	?????? ???
Ask 	??? ???? ???? ???? ???? ?? ????????	?????? ???
Ask 	???? ??? ??? ?? ????? ?????	?????? ???
Ask 	??? ???? ??? ??? ???? ???? ?? ????????	?????? ???
Ask 	???? ??? ?? ???? ?? ????? ????????	?????? ???
Ask 	??? ??? ?? ?? ????? ?????	?????? ???
Ask 	?? ??? ????? ???? ???? ????? ?? ????????	???? ????
Ask 	??? ??????? ???? ???? ?? ?????? ????? ????????	???? ????
Ask 	???? ???? ????? ????? ?? ????? ????????	???? ????
Ask 	?? ??? ???? ???? ?? ????? ???? ????? ????????	???? ????
Ask 	??? ???? ??? ???? ???? ???? ????????	???? ????
Ask 	??? ???? ???? ???? ???? ???? ????????	???? ????
Ask 	???? ??? ??? ?? ???? ?????	???? ????
Ask 	??? ???? ??? ??? ???? ???? ???? ????????	???? ????
Ask 	???? ??? ?? ???? ?? ?????? ????????	???? ????
Ask 	??? ??? ?? ?? ?????? ?????	???? ????
Ask 	?? ??? ????? ???? ???? ????? ???? ????????	???? ????
Ask 	??? ??????? ???? ???? ???? ?????? ????? ????????	???? ????
Ask 	???? ???? ????? ????? ?? ?????? ????????	???? ????
Ask 	?? ??? ???? ???? ???? ????? ???? ????? ????????	???? ????
Ask 	???? ???? ??? ????? ? ???? ???? ??????	???? ????
Ask 	????? ??? ?????????	???? ????
Ask 	?? ??? ???? ??? ???? ????	???? ????
Ask 	???? ?? ???? ????? ???? ????	???? ????
Agree	"????? ? ??? ???? ????? ???? ??? ?? "	?????? ? ?????
Agree	?? ???? ????? ?? ???	?????? ? ?????
Agree	????? ?? ??? 	?????? ? ?????
Agree	???? ????	?????? ? ?????
Refuse	?? ?? ?????? ????? ????? ?????	?? ????? ????? ???? ?????
Refuse	?? ?? ??? ?? ???? ????? ?????? ????	?? ????? ????? ???? ?????
Refuse	?? ?? ??? ????	?? ????? ????? ???? ?????
Refuse	?? ??? ???? ????? 	?? ????? ????? ???? ?????
